work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,skill_python,skill_sql,skill_ml,skill_cloud,skill_viz,skill_nlp,skill_stats,experience_level_enc,employment_type_enc,company_size_enc,company_location_enc,employee_residence_enc,job_title_clean,job_title_enc
2023,SE,FT,PRINCIPAL DATA SCIENTIST,80000,EUR,85847,ES,100,ES,L,1,0,1,0,0,0,0,3,2,0,24,26,PRINCIPAL DATA SCIENTIST,48
2023,MI,CT,ML ENGINEER,30000,USD,30000,US,100,US,S,1,0,1,0,0,0,0,2,0,2,68,73,ML ENGINEER,44
2023,MI,CT,ML ENGINEER,25500,USD,25500,US,100,US,S,1,0,1,0,0,0,0,2,0,2,68,73,ML ENGINEER,44
2023,SE,FT,DATA SCIENTIST,175000,USD,175000,CA,100,CA,M,1,0,1,0,0,0,0,3,2,1,11,11,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,120000,USD,120000,CA,100,CA,M,1,0,1,0,0,0,0,3,2,1,11,11,DATA SCIENTIST,28
2023,SE,FT,APPLIED SCIENTIST,222200,USD,222200,US,0,US,L,0,0,0,0,0,0,0,3,2,0,68,73,APPLIED SCIENTIST,5
2023,SE,FT,APPLIED SCIENTIST,136000,USD,136000,US,0,US,L,0,0,0,0,0,0,0,3,2,0,68,73,APPLIED SCIENTIST,5
2023,SE,FT,DATA SCIENTIST,219000,USD,219000,CA,0,CA,M,1,0,1,0,0,0,0,3,2,1,11,11,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,141000,USD,141000,CA,0,CA,M,1,0,1,0,0,0,0,3,2,1,11,11,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,147100,USD,147100,US,0,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,90700,USD,90700,US,0,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA ANALYST,130000,USD,130000,US,100,US,M,1,1,0,0,1,0,0,3,2,1,68,73,DATA ANALYST,15
2023,SE,FT,DATA ANALYST,100000,USD,100000,US,100,US,M,1,1,0,0,1,0,0,3,2,1,68,73,DATA ANALYST,15
2023,EN,FT,APPLIED SCIENTIST,213660,USD,213660,US,0,US,L,0,0,0,0,0,0,0,0,2,0,68,73,APPLIED SCIENTIST,5
2023,EN,FT,APPLIED SCIENTIST,130760,USD,130760,US,0,US,L,0,0,0,0,0,0,0,0,2,0,68,73,APPLIED SCIENTIST,5
2023,SE,FT,DATA MODELER,147100,USD,147100,US,0,US,M,0,0,0,0,0,0,0,3,2,1,68,73,OTHER,47
2023,SE,FT,DATA MODELER,90700,USD,90700,US,0,US,M,0,0,0,0,0,0,0,3,2,1,68,73,OTHER,47
2023,SE,FT,DATA SCIENTIST,170000,USD,170000,US,0,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,150000,USD,150000,US,0,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,MI,FT,DATA ANALYST,150000,USD,150000,US,100,US,M,1,1,0,0,1,0,0,2,2,1,68,73,DATA ANALYST,15
2023,MI,FT,DATA ANALYST,110000,USD,110000,US,100,US,M,1,1,0,0,1,0,0,2,2,1,68,73,DATA ANALYST,15
2023,SE,FT,RESEARCH ENGINEER,275000,USD,275000,DE,0,DE,M,0,0,0,0,0,0,1,3,2,1,19,20,RESEARCH ENGINEER,49
2023,SE,FT,RESEARCH ENGINEER,174000,USD,174000,DE,0,DE,M,0,0,0,0,0,0,1,3,2,1,19,20,RESEARCH ENGINEER,49
2023,SE,FT,ANALYTICS ENGINEER,230000,USD,230000,GB,100,GB,M,0,0,0,0,0,0,1,3,2,1,27,29,ANALYTICS ENGINEER,2
2023,SE,FT,ANALYTICS ENGINEER,143200,USD,143200,GB,100,GB,M,0,0,0,0,0,0,1,3,2,1,27,29,ANALYTICS ENGINEER,2
2023,SE,FT,BUSINESS INTELLIGENCE ENGINEER,225000,USD,225000,US,0,US,M,0,0,0,0,0,0,0,3,2,1,68,73,BUSINESS INTELLIGENCE ENGINEER,11
2023,SE,FT,BUSINESS INTELLIGENCE ENGINEER,156400,USD,156400,US,0,US,M,0,0,0,0,0,0,0,3,2,1,68,73,BUSINESS INTELLIGENCE ENGINEER,11
2023,SE,FT,MACHINE LEARNING ENGINEER,200000,USD,200000,US,0,US,M,0,0,1,0,0,0,0,3,2,1,68,73,MACHINE LEARNING ENGINEER,39
2023,SE,FT,MACHINE LEARNING ENGINEER,130000,USD,130000,US,0,US,M,0,0,1,0,0,0,0,3,2,1,68,73,MACHINE LEARNING ENGINEER,39
2023,SE,FT,DATA STRATEGIST,90000,USD,90000,CA,0,CA,M,0,0,0,0,0,0,0,3,2,1,11,11,OTHER,47
2023,SE,FT,DATA STRATEGIST,72000,USD,72000,CA,0,CA,M,0,0,0,0,0,0,0,3,2,1,11,11,OTHER,47
2023,SE,FT,DATA ENGINEER,253200,USD,253200,US,0,US,M,1,1,0,0,0,0,0,3,2,1,68,73,DATA ENGINEER,19
2023,SE,FT,DATA ENGINEER,90700,USD,90700,US,0,US,M,1,1,0,0,0,0,0,3,2,1,68,73,DATA ENGINEER,19
2023,SE,FT,COMPUTER VISION ENGINEER,184590,USD,184590,US,0,US,M,0,0,0,0,0,0,0,3,2,1,68,73,COMPUTER VISION ENGINEER,13
2023,MI,FT,DATA ENGINEER,162500,USD,162500,US,0,US,M,1,1,0,0,0,0,0,2,2,1,68,73,DATA ENGINEER,19
2023,MI,FT,DATA ENGINEER,130000,USD,130000,US,0,US,M,1,1,0,0,0,0,0,2,2,1,68,73,DATA ENGINEER,19
2023,MI,FT,DATA ANALYST,105380,USD,105380,US,0,US,M,1,1,0,0,1,0,0,2,2,1,68,73,DATA ANALYST,15
2023,MI,FT,DATA ANALYST,64500,USD,64500,US,0,US,M,1,1,0,0,1,0,0,2,2,1,68,73,DATA ANALYST,15
2023,EN,FT,DATA QUALITY ANALYST,100000,USD,100000,NG,100,NG,L,1,0,0,0,1,0,0,0,2,0,51,54,DATA QUALITY ANALYST,23
2023,EN,FT,COMPLIANCE DATA ANALYST,30000,USD,30000,NG,100,NG,L,1,1,0,0,1,0,0,0,2,0,51,54,OTHER,47
2022,MI,FT,MACHINE LEARNING ENGINEER,1650000,INR,20984,IN,50,IN,L,0,0,1,0,0,0,0,2,2,0,37,38,MACHINE LEARNING ENGINEER,39
2023,EN,FT,APPLIED SCIENTIST,204620,USD,204620,US,0,US,L,0,0,0,0,0,0,0,0,2,0,68,73,APPLIED SCIENTIST,5
2023,EN,FT,APPLIED SCIENTIST,110680,USD,110680,US,0,US,L,0,0,0,0,0,0,0,0,2,0,68,73,APPLIED SCIENTIST,5
2023,SE,FT,DATA ENGINEER,270703,USD,270703,US,0,US,M,1,1,0,0,0,0,0,3,2,1,68,73,DATA ENGINEER,19
2023,SE,FT,DATA ENGINEER,221484,USD,221484,US,0,US,M,1,1,0,0,0,0,0,3,2,1,68,73,DATA ENGINEER,19
2023,SE,FT,DATA SCIENTIST,212750,USD,212750,US,100,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,185000,USD,185000,US,100,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,262000,USD,262000,US,100,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,245000,USD,245000,US,100,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,275300,USD,275300,US,100,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,183500,USD,183500,US,100,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,218500,USD,218500,US,100,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA SCIENTIST,199098,USD,199098,US,100,US,M,1,0,1,0,0,0,0,3,2,1,68,73,DATA SCIENTIST,28
2023,SE,FT,DATA ENGINEER,203300,USD,203300,US,100,US,M,1,1,0,0,0,0,0,3,2,1,68,73,DATA ENGINEER,19
2023,SE,FT,DATA ENGINEER,123600,USD,123600,US,100,US,M,1,1,0,0,0,0,0,3,2,1,68,73,DATA ENGINEER,19
2023,SE,FT,RESEARCH ENGINEER,189110,USD,189110,US,0,US,M,0,0,0,0,0,0,1,3,2,1,68,73,RESEARCH ENGINEER,49
2023,SE,FT,RESEARCH ENGINEER,139000,USD,139000,US,0,US,M,0,0,0,0,0,0,1,3,2,1,68,73,RESEARCH ENGINEER,49
