job_title,experience_level,salary_in_usd,remote_ratio,company_size,cluster,cluster_label,pca_x,pca_y
PRINCIPAL DATA SCIENTIST,SE,85847,100,L,0,Entry-Level Analysts,-0.6311,1.5895
ML ENGINEER,MI,30000,100,S,0,Entry-Level Analysts,-0.3652,2.1788
ML ENGINEER,MI,25500,100,S,0,Entry-Level Analysts,-0.3502,2.2004
DATA SCIENTIST,SE,175000,100,M,0,Entry-Level Analysts,-0.9276,1.1624
DATA SCIENTIST,SE,120000,100,M,0,Entry-Level Analysts,-0.7447,1.4259
APPLIED SCIENTIST,SE,222200,0,L,3,Business Intelligence,-1.4057,-1.3046
APPLIED SCIENTIST,SE,136000,0,L,3,Business Intelligence,-1.119,-0.8916
DATA SCIENTIST,SE,219000,0,M,0,Entry-Level Analysts,-1.1523,0.6397
DATA SCIENTIST,SE,141000,0,M,0,Entry-Level Analysts,-0.8929,1.0134
DATA SCIENTIST,SE,147100,0,M,0,Entry-Level Analysts,-0.9132,0.9841
DATA SCIENTIST,SE,90700,0,M,0,Entry-Level Analysts,-0.7256,1.2544
DATA ANALYST,SE,130000,100,M,1,Senior ML Engineers,2.3136,-0.5297
DATA ANALYST,SE,100000,100,M,1,Senior ML Engineers,2.4134,-0.386
APPLIED SCIENTIST,EN,213660,0,L,3,Business Intelligence,-1.1366,-0.2985
APPLIED SCIENTIST,EN,130760,0,L,3,Business Intelligence,-0.8609,0.0987
DATA MODELER,SE,147100,0,M,3,Business Intelligence,-1.1559,-0.9448
DATA MODELER,SE,90700,0,M,3,Business Intelligence,-0.9684,-0.6746
DATA SCIENTIST,SE,170000,0,M,0,Entry-Level Analysts,-0.9893,0.8744
DATA SCIENTIST,SE,150000,0,M,0,Entry-Level Analysts,-0.9228,0.9703
DATA ANALYST,MI,150000,100,M,1,Senior ML Engineers,2.3273,-0.3038
DATA ANALYST,MI,110000,100,M,1,Senior ML Engineers,2.4603,-0.1121
RESEARCH ENGINEER,SE,275000,0,M,2,Cloud & Data Platform,-2.4747,-3.3583
RESEARCH ENGINEER,SE,174000,0,M,2,Cloud & Data Platform,-2.1389,-2.8744
ANALYTICS ENGINEER,SE,230000,100,M,2,Cloud & Data Platform,-2.2467,-2.8308
ANALYTICS ENGINEER,SE,143200,100,M,2,Cloud & Data Platform,-1.9581,-2.415
BUSINESS INTELLIGENCE ENGINEER,SE,225000,0,M,3,Business Intelligence,-1.415,-1.318
BUSINESS INTELLIGENCE ENGINEER,SE,156400,0,M,3,Business Intelligence,-1.1869,-0.9894
MACHINE LEARNING ENGINEER,SE,200000,0,M,3,Business Intelligence,-2.0487,0.0935
MACHINE LEARNING ENGINEER,SE,130000,0,M,3,Business Intelligence,-1.8159,0.4289
DATA STRATEGIST,SE,90000,0,M,3,Business Intelligence,-0.9661,-0.6712
DATA STRATEGIST,SE,72000,0,M,3,Business Intelligence,-0.9062,-0.585
